name,screentime,episode
Varys,172,Episode - 10
Varys,139,Episode - 11
Varys,276,Episode - 12
Varys,152,Episode - 13
Varys,0,Episode - 14
Varys,0,Episode - 15
Varys,0,Episode - 16
Varys,0,Episode - 17
Varys,323,Episode - 18
Varys,172,Episode - 19
Varys,532,Episode - 20
Varys,0,Episode - 21
Varys,0,Episode - 22
Varys,244,Episode - 23
Varys,558,Episode - 24
Varys,0,Episode - 25
Varys,144,Episode - 26
Varys,0,Episode - 27
Varys,194,Episode - 28
Varys,0,Episode - 29
Varys,393,Episode - 30
Varys,0,Episode - 31
Varys,481,Episode - 32
Varys,0,Episode - 33
Varys,0,Episode - 34
Varys,103,Episode - 35
Varys,394,Episode - 36
Varys,0,Episode - 37
Varys,272,Episode - 38
Varys,0,Episode - 39
Varys,82,Episode - 40
Varys,366,Episode - 41
Varys,146,Episode - 42
Varys,277,Episode - 43
Varys,0,Episode - 44
Varys,0,Episode - 45
Varys,0,Episode - 46
Varys,0,Episode - 47
Varys,0,Episode - 48
Varys,0,Episode - 49
Varys,87,Episode - 50
Varys,213,Episode - 51
Varys,219,Episode - 52
Varys,294,Episode - 53
Varys,218,Episode - 54
